	x		e^x		(e^x)'
      1.85	      6.36	      6.39
      1.86	      6.42	      6.46
      1.87	      6.49	      6.52
      1.88	      6.55	      6.59
      1.89	      6.62	      6.65
      1.90	      6.69	      6.72
      1.91	      6.75	      6.79
      1.92	      6.82	      6.86
      1.93	      6.89	      6.92
      1.94	      6.96	      6.99
      1.95	      7.03	      7.06
      1.96	      7.10	      7.13
      1.97	      7.17	      7.21
      1.98	      7.24	      7.28
      1.99	      7.32	      7.35
      2.00	      7.39	      7.43
      2.01	      7.46	      7.50
      2.02	      7.54	      7.58
      2.03	      7.61	      7.65
      2.04	      7.69	      7.73
      2.05	      7.77	      7.81
      2.06	      7.85	      7.89
      2.07	      7.92	      7.96
      2.08	      8.00	      8.04
      2.09	      8.08	      8.13
      2.10	      8.17	      8.21
      2.11	      8.25	      8.29
      2.12	      8.33	      8.37
      2.13	      8.41	      8.46
      2.14	      8.50	      8.54
      2.15	      8.58	      8.63
      2.16	      8.67	      8.71
      2.17	      8.76	      8.80
      2.18	      8.85	      8.89
      2.19	      8.94	      8.98
      2.20	      9.02	      9.07
      2.21	      9.12	      9.16
      2.22	      9.21	      9.25
      2.23	      9.30	      9.35
      2.24	      9.39	      9.44
      2.25	      9.49	      9.54
      2.26	      9.58	      9.63
      2.27	      9.68	      9.73
      2.28	      9.78	      9.83
      2.29	      9.87	      9.92
      2.30	      9.97	     10.02
      2.31	     10.07	     10.12
      2.32	     10.18	     10.23
      2.33	     10.28	     10.33
      2.34	     10.38	     10.43
      2.35	     10.49	     10.54
      2.36	     10.59	     10.64
      2.37	     10.70	     10.75
      2.38	     10.80	     10.86
      2.39	     10.91	     10.97
      2.40	     11.02	     11.08
      2.41	     11.13	     11.19
      2.42	     11.25	     11.30
      2.43	     11.36	     11.42
      2.44	     11.47	     11.53
      2.45	     11.59	     11.65
      2.46	     11.70	     11.76
      2.47	     11.82	     11.88
      2.48	     11.94	     12.00
      2.49	     12.06	     12.12
      2.50	     12.18	     12.24
      2.51	     12.30	     12.37
      2.52	     12.43	     12.49
      2.53	     12.55	     12.62
      2.54	     12.68	     12.74
      2.55	     12.81	     12.87
      2.56	     12.94	     13.00
      2.57	     13.07	     13.13
      2.58	     13.20	     13.26
      2.59	     13.33	     13.40
      2.60	     13.46	     13.53
      2.61	     13.60	     13.67
      2.62	     13.74	     13.80
      2.63	     13.87	     13.94
      2.64	     14.01	     14.08
      2.65	     14.15	     14.23
      2.66	     14.30	     14.37
      2.67	     14.44	     14.51
      2.68	     14.59	     14.66
      2.69	     14.73	     14.81
      2.70	     14.88	     14.95
      2.71	     15.03	     15.10
      2.72	     15.18	     15.26
      2.73	     15.33	     15.41
      2.74	     15.49	     15.56
      2.75	     15.64	     15.72
      2.76	     15.80	     15.88
      2.77	     15.96	     16.04
      2.78	     16.12	     16.20
      2.79	     16.28	     16.36
      2.80	     16.44	     16.53
      2.81	     16.61	     16.69
      2.82	     16.78	     16.86
      2.83	     16.95	     17.03
      2.84	     17.12	     17.20
      2.85	     17.29	     17.37
      2.86	     17.46	     17.55
      2.87	     17.64	     17.73
      2.88	     17.81	     17.90
      2.89	     17.99	     18.08
      2.90	     18.17	     18.27
      2.91	     18.36	     18.45
      2.92	     18.54	     18.63
      2.93	     18.73	     18.82
      2.94	     18.92	     19.01
      2.95	     19.11	     19.20
      2.96	     19.30	     19.39
      2.97	     19.49	     19.59
      2.98	     19.69	     19.79
      2.99	     19.89	     19.99
      3.00	     20.09	     20.19
      3.01	     20.29	     20.39
      3.02	     20.49	     20.59
      3.03	     20.70	     20.80
      3.04	     20.91	     21.01
      3.05	     21.12	     21.22
      3.06	     21.33	     21.43
      3.07	     21.54	     21.65
      3.08	     21.76	     21.87
      3.09	     21.98	     22.09
      3.10	     22.20	     22.31
      3.11	     22.42	     22.53
      3.12	     22.65	     22.76
      3.13	     22.87	     22.99
      3.14	     23.10	     23.22
      3.15	     23.34	     23.45
      3.16	     23.57	     23.69
      3.17	     23.81	     23.93
      3.18	     24.05	     24.17
      3.19	     24.29	     24.41
      3.20	     24.53	     24.66
      3.21	     24.78	     24.90
      3.22	     25.03	     25.15
      3.23	     25.28	     25.41
      3.24	     25.53	     25.66
      3.25	     25.79	     25.92
      3.26	     26.05	     26.18
      3.27	     26.31	     26.44
      3.28	     26.58	     26.71
      3.29	     26.84	     26.98
      3.30	     27.11	     27.25
      3.31	     27.39	     27.52
      3.32	     27.66	     27.80
      3.33	     27.94	     28.08
      3.34	     28.22	     28.36
      3.35	     28.50	     28.65
      3.36	     28.79	     28.93
      3.37	     29.08	     29.22
      3.38	     29.37	     29.52
      3.39	     29.67	     29.81
      3.40	     29.96	     30.11
      3.41	     30.27	     30.42
      3.42	     30.57	     30.72
      3.43	     30.88	     31.03
      3.44	     31.19	     31.34
      3.45	     31.50	     31.66
      3.46	     31.82	     31.98
      3.47	     32.14	     32.30
      3.48	     32.46	     32.62
      3.49	     32.79	     32.95
      3.50	     33.12	     33.28
      3.51	     33.45	     33.62
      3.52	     33.78	     33.95
      3.53	     34.12	     34.30
      3.54	     34.47	     34.64
      3.55	     34.81	     34.99
      3.56	     35.16	     35.34
      3.57	     35.52	     35.69
      3.58	     35.87	     36.05
      3.59	     36.23	     36.42
      3.60	     36.60	     36.78
      3.61	     36.97	     37.15
      3.62	     37.34	     37.52
      3.63	     37.71	     37.90
      3.64	     38.09	     38.28
      3.65	     38.47	     38.67
      3.66	     38.86	     39.06
      3.67	     39.25	     39.45
      3.68	     39.65	     39.85
      3.69	     40.04	     40.25
      3.70	     40.45	     40.65
      3.71	     40.85	     41.06
      3.72	     41.26	     41.47
      3.73	     41.68	     41.89
      3.74	     42.10	     42.31
      3.75	     42.52	     42.73
      3.76	     42.95	     43.16
      3.77	     43.38	     43.60
      3.78	     43.82	     44.04
      3.79	     44.26	     44.48
      3.80	     44.70	     44.93
      3.81	     45.15	     45.38
      3.82	     45.60	     45.83
      3.83	     46.06	     46.29
      3.84	     46.53	     46.76
      3.85	     46.99	     47.23
      3.86	     47.47	     47.70
      3.87	     47.94	     48.18
      3.88	     48.42	     48.67
      3.89	     48.91	     49.16
      3.90	     49.40	     49.65
      3.91	     49.90	     50.15
      3.92	     50.40	     50.65
      3.93	     50.91	     51.16
      3.94	     51.42	     51.68
      3.95	     51.94	     52.20
      3.96	     52.46	     52.72
      3.97	     52.98	     53.25
      3.98	     53.52	     53.79
      3.99	     54.05	     54.33
      4.00	     54.60	     54.87
      4.01	     55.15	     55.42
      4.02	     55.70	     55.98
      4.03	     56.26	     56.54
      4.04	     56.83	     57.11
      4.05	     57.40	     57.69
      4.06	     57.97	     58.27
      4.07	     58.56	     58.85
      4.08	     59.15	     59.44
      4.09	     59.74	     60.04
      4.10	     60.34	     60.64
      4.11	     60.95	     61.25
      4.12	     61.56	     61.87
      4.13	     62.18	     62.49
      4.14	     62.80	     63.12
      4.15	     63.43	     63.75
      4.16	     64.07	     64.39
      4.17	     64.72	     65.04
      4.18	     65.37	     65.70
      4.19	     66.02	     66.36
      4.20	     66.69	     67.02
      4.21	     67.36	     67.70
      4.22	     68.03	     68.38
      4.23	     68.72	     69.06
      4.24	     69.41	     69.76
      4.25	     70.11	     70.46
      4.26	     70.81	     71.17
      4.27	     71.52	     71.88
      4.28	     72.24	     72.60
      4.29	     72.97	     73.33
      4.30	     73.70	     74.07
      4.31	     74.44	     74.82
      4.32	     75.19	     75.57
      4.33	     75.94	     76.33
      4.34	     76.71	     77.09
      4.35	     77.48	     77.87
      4.36	     78.26	     78.65
      4.37	     79.04	     79.44
      4.38	     79.84	     80.24
      4.39	     80.64	     81.05
      4.40	     81.45	     81.86
